OID_,GEOID10,p65plus,pNonWhite,pHisp,pNoHS,pUnemp,MedIncome,Name,Neighborho,Temp,pTotFlood,pPublicOpen,pPrivateOpen,pROW,pCanopyLCLU,SVI_F_TOTAL,Shape_Length,Shape_Area,n65plus,nNonWhite,nNoHS,nUnemp,nMedInc,nTemp,nTotFlood,nPublicOpen,nPrivateOpen,nCanopyLCLU,nTotSVI,nHisp
21,250259812021013,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,South Boston Waterfront,29,92.821407191661180,0.698712791633146,0.000000000000000,0.005712290837403,0.032326295362058,0.001707868860314,-999,4218.158895534244039,1168724.482706095557660,0.000000000000000,0.200000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.583572859863110,0.698712791633146,0.000000000000000,0.006243691298282,0.001707868860314,0.000000000000000,0.000000000000000
22,250251301003031,19.976218790000001,14.982164089999999,2.378121284000000,0.000000000000000,7.052441230000000,128802,West Roxbury,19,89.005798339843750,0.142857142857143,0.000000000000000,0.000000000000000,0.000000000000000,0.022274325908558,0,342.714663162539068,3409.137221488383602,0.305518640339213,0.149821640900000,0.000000000000000,0.116462332229984,0.570740746074492,0.174484887415368,0.142857142857143,0.000000000000000,0.000000000000000,0.022274325908558,0.000000000000000,0.028792698793487
23,250251402022001,11.634671320000001,79.115764979999994,41.535776609999999,17.731092440000001,12.220149250000000,43750,Hyde Park,10,90.684031350272036,0.000000000000000,0.000000000000000,0.199190751445087,0.236454720616570,0.228786127167630,0,1330.164265055672104,103803.838460485261749,0.177942031965502,0.791157649800000,0.299770267871582,0.201800629801703,0.162459136796325,0.354415526585558,0.000000000000000,0.000000000000000,0.217720980408139,0.228786127167630,0.000000000000000,0.502887347727582
24,250251402023005,14.803849000000000,54.034048849999998,15.025906740000000,17.452830190000000,3.531300161000000,86875,Hyde Park,10,90.151609973794606,0.002271768409438,0.000000000000000,0.132739364486393,0.139340242766859,0.550721523381325,0,5784.033203358161700,725952.703875200473703,0.226411808251276,0.540340488500000,0.295065834148543,0.058315048525995,0.369475366868763,0.297332321820681,0.002271768409438,0.000000000000000,0.145087783268381,0.550721523381325,0.000000000000000,0.181923609100434
25,250251402024014,13.895089290000000,40.625000000000000,38.169642860000003,10.216718269999999,7.843137255000000,96750,Hyde Park,10,89.452883331863973,0.000000000000000,0.000000000000000,0.172028362848860,0.099933633728038,0.477243354640400,0,1374.638927879445419,114519.175282355368836,0.212513130332648,0.406250000000000,0.172728690176880,0.129519697779485,0.416879083320132,0.222418808317727,0.000000000000000,0.000000000000000,0.188031741161368,0.477243354640400,0.000000000000000,0.462132456118640
26,250251402024002,13.895089290000000,40.625000000000000,38.169642860000003,10.216718269999999,7.843137255000000,96750,Hyde Park,10,90.647275484525238,0.029687500000000,0.000000000000000,0.005310204442871,0.990087618373307,0.004602177183822,0,2945.090055118754663,45208.898162059980677,0.212513130332648,0.406250000000000,0.172728690176880,0.129519697779485,0.416879083320132,0.350474770816854,0.029687500000000,0.000000000000000,0.005804199788805,0.004602177183822,0.000000000000000,0.462132456118640
27,250251402023004,14.803849000000000,54.034048849999998,15.025906740000000,17.452830190000000,3.531300161000000,86875,Hyde Park,10,90.336866266587208,0.022300095571838,0.044413226712773,0.002807472195227,0.601122988878091,0.351689882302127,0,3478.892304375577623,74068.909834746038541,0.226411808251276,0.540340488500000,0.295065834148543,0.058315048525995,0.369475366868763,0.317194452386189,0.022300095571838,0.045692887495784,0.003068644474600,0.351689882302127,0.000000000000000,0.181923609100434
28,250251402023014,14.803849000000000,54.034048849999998,15.025906740000000,17.452830190000000,3.531300161000000,86875,Hyde Park,10,90.858643972745512,0.000000000000000,0.000000000000000,0.186552353735016,0.174148606811146,0.214713820750972,0,1990.010177906403442,201556.686979018064449,0.226411808251276,0.540340488500000,0.295065834148543,0.058315048525995,0.369475366868763,0.373136503096933,0.000000000000000,0.000000000000000,0.203906863436031,0.214713820750972,0.000000000000000,0.181923609100434
29,250250701018021,7.857142857000000,14.047619050000000,4.523809524000000,3.801169591000000,6.389776358000000,218224,Downtown,7,92.756525675455734,0.875232774674115,0.159429477020602,0.000000000000000,0.832119100411783,0.009502692429522,3,481.532932950477743,12621.304657648583088,0.120168067233188,0.140476190500000,0.064264377977569,0.105519242601430,1.000000000000000,0.576616631134057,0.875232774674115,0.164023055656953,0.000000000000000,0.009502692429522,0.272727272727273,0.054771254056712
30,250250302001016,7.828004410000000,5.347298787000000,9.757442117000000,4.377564979000000,1.672240803000000,96250,West End,31,91.040050506591797,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,2,546.762340506064788,2020.284054249733799,0.119722420396686,0.053472987870000,0.074009192091273,0.027614985735588,0.414478895145379,0.392585884310264,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.181818181818182,0.118136570140407
31,250250108013005,17.527862209999999,5.572441743000000,9.929078014000000,0.966183575000000,1.267828843000000,114938,Back Bay,2,91.547230456248826,0.108491829627645,0.000000000000000,0.000000000000000,0.233667425968109,0.127881548974943,3,1525.729007715868192,87764.011339337244863,0.268073186760099,0.055724417430000,0.016334758282433,0.020936623093876,0.504188328364944,0.446962846239290,0.108491829627645,0.000000000000000,0.000000000000000,0.127881548974943,0.272727272727273,0.120214622558389
32,250250201014002,11.782661780000000,4.578754579000000,0.976800977000000,0.000000000000000,5.632502308000000,111051,Beacon Hill,30,92.063836317795975,0.000000000000000,0.000000000000000,0.000000000000000,0.256871955462770,0.067545233124565,1,1744.911624302440714,91979.972821822462720,0.180205415471544,0.045787545790000,0.000000000000000,0.093013799574825,0.485529265494415,0.502350401060143,0.000000000000000,0.000000000000000,0.000000000000000,0.067545233124565,0.090909090909091,0.011826451620095
33,250250201014008,11.782661780000000,4.578754579000000,0.976800977000000,0.000000000000000,5.632502308000000,111051,Beacon Hill,30,92.311130777994791,0.000000000000000,0.000000000000000,0.000000000000000,0.278768036861889,0.020249787801625,1,911.413304089493863,32974.574884082117933,0.180205415471544,0.045787545790000,0.000000000000000,0.093013799574825,0.485529265494415,0.528863912598963,0.000000000000000,0.000000000000000,0.000000000000000,0.020249787801625,0.090909090909091,0.011826451620095
34,250250202001004,13.419563460000001,19.725141470000001,17.057396929999999,5.615942029000000,0.000000000000000,65446,Beacon Hill,30,92.626591491699216,0.000000000000000,0.000000000000000,0.000000000000000,0.541348794629234,0.000000000000000,1,465.434207278168572,13101.363911919883321,0.205240382343899,0.197251414700000,0.094945782505018,0.000000000000000,0.266608102075203,0.562685823797953,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.090909090909091,0.206519530904813
35,250251403002003,13.927781870000000,66.028002950000001,54.532056009999998,10.470588240000000,2.647058824000000,64037,Hyde Park,10,90.016231314776689,0.024083651051300,0.000000000000000,0.110800715050009,0.173393219839434,0.187809550658986,3,5795.894697107935826,624317.445983048295602,0.213013134497389,0.660280029500000,0.177020736432291,0.043712898007801,0.259844371798749,0.282817788680328,0.024083651051300,0.000000000000000,0.121108234873351,0.187809550658986,0.272727272727273,0.660237589163037
36,250259811001088,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,Roslindale,15,91.708599635532920,0.000000000000000,0.695592496568553,0.000000000000000,0.000000000000000,0.113854595336077,6,1188.395522784499008,52465.546146942688210,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.464263935772471,0.000000000000000,0.715634328804073,0.000000000000000,0.113854595336077,0.545454545454545,0.000000000000000
